mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os01g61044,6.3,41.1,5.767123287671233,2.527851864186379
LOC_Os01g61080,91.3,389.0,4.225352112676056,2.0790715709911987
LOC_Os01g61170,3.7,33.9,7.425531914893616,2.892494374532015
LOC_Os01g61900,5.1,48.4,8.098360655737705,3.0176298940217916
LOC_Os01g61940,3.9,23.4,4.979591836734693,2.316027493447678
LOC_Os01g62130,11.7,61.7,4.937007874015748,2.303636946029873
LOC_Os01g62190,13.5,80.7,5.63448275862069,2.494283178130749
LOC_Os01g62290,4.8,393.6,68.0344827586207,6.088194245595987
LOC_Os01g62760,22.7,130.7,5.556962025316455,2.474296381358255
LOC_Os01g62980,1.3,11.6,5.478260869565218,2.4537179674429037
LOC_Os01g62970,0.6,9.8,6.75,2.7548875021634687
LOC_Os01g63050,4.6,22.2,4.142857142857143,2.050626073069968
LOC_Os01g63060,8.9,81.1,8.292929292929292,3.0518817916981953
LOC_Os01g63620,1.5,20.8,8.72,3.1243281350022016
LOC_Os01g63970,23.6,130.5,5.345528455284552,2.4183325788404244
LOC_Os01g64000,1.7,28.3,10.851851851851851,3.4398693522587793
LOC_Os01g64170,10.0,109.0,10.0,3.321928094887362
LOC_Os01g64360,11.4,60.5,4.959677419354839,2.310246289839727
LOC_Os01g64470,39.6,225.7,5.583743842364531,2.4812327585556093
LOC_Os01g64790,1.7,50.3,18.999999999999996,4.247927513443585
LOC_Os01g65410,22.1,186.3,8.108225108225108,3.019386142826988
LOC_Os01g65660,5.3,27.6,4.53968253968254,2.182591413278473
LOC_Os01g65680,27.6,125.1,4.409090909090908,2.14048122354983
LOC_Os01g65700,3.4,21.5,5.113636363636363,2.3543495725797396
LOC_Os01g66120,68.6,370.8,5.3419540229885065,2.4173675590707533
LOC_Os01g66250,7.8,61.3,7.079545454545453,2.8236567343867045
LOC_Os01g66530,5.5,28.7,4.569230769230769,2.191951307772311
LOC_Os01g66710,1.4,20.5,8.958333333333334,3.163230348868304
LOC_Os01g66760,0.5,5.8,4.533333333333333,2.180572245641821
LOC_Os01g66900,2.0,395.5,132.16666666666666,7.046214554982822
LOC_Os01g67430,0.0,6.4,7.4,2.8875252707415875
LOC_Os01g68400,0.0,5.3,6.3,2.655351828612554
LOC_Os01g68650,42.4,232.3,5.37557603686636,2.4264193595397203
LOC_Os01g68660,0.0,4.1,5.1,2.350497247084133
LOC_Os01g70050,0.0,12.4,13.4,3.7441610955704103
LOC_Os01g70790,35.5,286.2,7.868493150684931,2.9760873800556715
LOC_Os01g70850,3.6,263.5,57.50000000000001,5.845490050944376
LOC_Os01g71410,0.0,67.6,68.6,6.1001366712854495
