mRNA,CKR,HSR,FoldChange,log2FC
LOC_Os02g48450,16.9,0.0,0.0558659217877095,-4.161887682376894
LOC_Os02g48460,6.6,0.0,0.13157894736842105,-2.925999418556223
LOC_Os02g48550,4.2,0.0,0.1923076923076923,-2.37851162325373
LOC_Os02g48600,3.4,0.0,0.22727272727272727,-2.137503523749935
LOC_Os02g48610,40.7,5.6,0.15827338129496402,-2.6595094540862103
LOC_Os02g48660,82.8,15.2,0.19331742243436753,-2.370956430814727
LOC_Os02g48680,9.1,0.0,0.09900990099009901,-3.3362833878644325
LOC_Os02g48730,19.5,1.6,0.12682926829268293,-2.979040381364354
LOC_Os02g48830,8.1,0.8,0.19780219780219782,-2.3378696387563838
LOC_Os02g48870,144.1,18.5,0.13439007580978635,-2.895501490317134
LOC_Os02g48880,6.7,0.7,0.22077922077922077,-2.179323699444562
LOC_Os02g48900,35.3,4.8,0.15977961432506887,-2.6458447428681784
LOC_Os02g48980,31.4,5.4,0.19753086419753088,-2.3398500028846247
LOC_Os02g49080,30.1,3.5,0.14469453376205788,-2.788917673800928
LOC_Os02g49090,12.7,2.0,0.21897810218978103,-2.191141487352008
LOC_Os02g49140,7.5,0.0,0.11764705882352941,-3.0874628412503395
LOC_Os02g49240,9.2,0.9,0.18627450980392157,-2.42449782852791
LOC_Os02g49244,16.8,2.0,0.16853932584269662,-2.5688428353578794
LOC_Os02g49310,11.6,0.5,0.11904761904761905,-3.070389327891398
LOC_Os02g49360,18.1,1.9,0.1518324607329843,-2.719447832908177
LOC_Os02g49480,6.8,0.6,0.20512820512820515,-2.2854022188622483
LOC_Os02g49560,13.1,0.0,0.07092198581560284,-3.817623257511431
LOC_Os02g49620,7.2,0.9,0.23170731707317074,-2.109624491174498
LOC_Os02g49760,24.9,3.9,0.1891891891891892,-2.4020984435713455
LOC_Os02g49920,19.4,0.0,0.04901960784313726,-4.350497247084133
LOC_Os02g49950,10.8,0.0,0.0847457627118644,-3.560714954474479
LOC_Os02g50000,13.5,0.8,0.12413793103448276,-3.0099840885726223
LOC_Os02g50020,3.8,0.0,0.20833333333333334,-2.263034405833794
LOC_Os02g50050,3.4,0.0,0.22727272727272727,-2.137503523749935
LOC_Os02g50060,3.1,0.0,0.24390243902439027,-2.035623909730721
LOC_Os02g50070,15.4,2.3,0.20121951219512196,-2.31315788525963
LOC_Os02g50130,108.4,23.8,0.226691042047532,-2.1412007124056815
LOC_Os02g50270,24.4,3.7,0.18503937007874016,-2.4340958350945283
LOC_Os02g50290,18.9,2.9,0.19597989949748745,-2.3512224016814005
LOC_Os02g50300,4.1,0.0,0.19607843137254904,-2.350497247084133
LOC_Os02g50330,3.7,0.0,0.2127659574468085,-2.232660756790275
LOC_Os02g50360,9.6,1.6,0.24528301886792456,-2.027480736422107
LOC_Os02g50640,12.2,0.8,0.13636363636363638,-2.874469117916141
LOC_Os02g50810,9.8,1.6,0.24074074074074073,-2.0544477840223765
LOC_Os02g50910,9.3,1.4,0.23300970873786406,-2.1015380264620624
LOC_Os02g51080,30.2,0.6,0.05128205128205129,-4.285402218862248
LOC_Os02g51110,59.7,0.4,0.023064250411861612,-5.438197784198078
LOC_Os02g51470,17.8,1.0,0.10638297872340426,-3.232660756790275
LOC_Os02g51490,6.5,0.6,0.21333333333333335,-2.228818690495881
LOC_Os02g51620,23.8,0.7,0.06854838709677419,-3.866733469136536
LOC_Os02g51640,3.7,0.0,0.2127659574468085,-2.232660756790275
LOC_Os02g51680,6.7,0.0,0.12987012987012986,-2.9448584458075393
LOC_Os02g51710,137.5,23.3,0.17545126353790613,-2.5108577573307698
LOC_Os02g51720,20.6,0.0,0.046296296296296294,-4.4329594072761065
LOC_Os02g52040,20.7,2.5,0.16129032258064516,-2.6322682154995127
LOC_Os02g52180,8.0,0.0,0.1111111111111111,-3.1699250014423126
LOC_Os02g52230,45.9,5.6,0.14072494669509594,-2.8290499931569233
LOC_Os02g52280,9.4,1.4,0.23076923076923075,-2.115477217419936
LOC_Os02g52290,55.2,10.5,0.20462633451957293,-2.288936269276551
LOC_Os02g52305,5.4,0.0,0.15625,-2.678071905112638
LOC_Os02g52300,4.5,0.0,0.18181818181818182,-2.4594316186372973
LOC_Os02g52316,10.7,0.0,0.08547008547008547,-3.548436624696042
LOC_Os02g52450,3.5,0.0,0.2222222222222222,-2.1699250014423126
LOC_Os02g52490,25.2,0.9,0.07251908396946564,-3.785495488093865
LOC_Os02g52590,3.3,0.0,0.23255813953488372,-2.1043366598147357
LOC_Os02g52810,9.6,0.3,0.12264150943396228,-3.027480736422107
LOC_Os02g52840,4.2,0.0,0.1923076923076923,-2.37851162325373
LOC_Os02g52920,21.3,1.5,0.11210762331838564,-3.15704371014558
LOC_Os02g52930,81.1,16.7,0.21559074299634592,-2.213632861694807
LOC_Os02g52990,35.5,5.6,0.18082191780821916,-2.4673585344089264
LOC_Os02g53180,4.7,0.4,0.24561403508771928,-2.0255350921071376
LOC_Os02g53360,5.4,0.0,0.15625,-2.678071905112638
LOC_Os02g53500,6.9,0.7,0.2151898734177215,-2.2163179069267636
LOC_Os02g53520,10.4,1.4,0.21052631578947367,-2.2479275134435857
LOC_Os02g53690,3.6,0.0,0.2173913043478261,-2.2016338611696504
LOC_Os02g53994,17.6,1.2,0.11827956989247312,-3.079727192470734
LOC_Os02g54030,7.1,0.0,0.1234567901234568,-3.017921907997262
LOC_Os02g54060,3.3,0.0,0.23255813953488372,-2.1043366598147357
