mRNA	CKR
LOC_Os01g08090	15.4
LOC_Os01g08100	0.9
LOC_Os01g08110	7.2
LOC_Os01g08120	0.8
LOC_Os01g08130	10.6
LOC_Os01g08140	13.6
LOC_Os01g08150	14.8
LOC_Os01g08160	4.4
LOC_Os01g08170	13.6
LOC_Os01g08180	0
LOC_Os01g08190	0.2
LOC_Os01g08200	8
LOC_Os01g08209	0
LOC_Os01g08220	3.9
LOC_Os01g08229	0
LOC_Os01g08240	0
LOC_Os01g08250	0
LOC_Os01g08260	0.7
LOC_Os01g08270	12.6
LOC_Os01g08280	4.5
LOC_Os01g08290	8.4
LOC_Os01g08300	1.4
LOC_Os01g08310	4.8
LOC_Os01g08320	16.3
LOC_Os01g08330	0
LOC_Os01g08340	3.5
LOC_Os01g08350	0
LOC_Os01g08360	0
LOC_Os01g08370	4.4
LOC_Os01g08380	91.6
LOC_Os01g08390	0
LOC_Os01g08400	11
LOC_Os01g08410	50.2
LOC_Os01g08420	6.1
LOC_Os01g08430	11.3
LOC_Os01g08440	2.3
LOC_Os01g08450	3.8
LOC_Os01g08460	1.9
LOC_Os01g08464	0
LOC_Os01g08470	20.2
LOC_Os01g08480	0
LOC_Os01g08490	0
LOC_Os01g08500	0
LOC_Os01g08510	3
LOC_Os01g08520	5
LOC_Os01g08530	0
LOC_Os01g08540	1.5
LOC_Os01g08550	1.5
LOC_Os01g08560	56
LOC_Os01g08570	0
LOC_Os01g08580	13.4
LOC_Os01g08590	0
LOC_Os01g08600	0
LOC_Os01g08610	0
LOC_Os01g08620	0
LOC_Os01g08630	0
LOC_Os01g08640	0
LOC_Os01g08650	3.2
LOC_Os01g08660	20.6
LOC_Os01g08670	17.6
LOC_Os01g08680	3
LOC_Os01g08690	2.6
LOC_Os01g08700	39.8
LOC_Os01g08710	0.2
LOC_Os01g08720	0
LOC_Os01g08730	0
LOC_Os01g08740	0
LOC_Os01g08750	5.9
LOC_Os01g08760	12.2
LOC_Os01g08770	6.8
LOC_Os01g08780	9.3
LOC_Os01g08790	5.8
LOC_Os01g08800	1.8
LOC_Os01g08810	8.9
LOC_Os01g08814	2.8
LOC_Os01g08820	3.5
LOC_Os01g08830	23.4
LOC_Os01g08840	7.1
LOC_Os01g08850	3.4
LOC_Os01g08860	11.9
LOC_Os01g08870	20.3
LOC_Os01g08880	5.7
LOC_Os01g08890	0.4
LOC_Os01g08930	4.7
LOC_Os01g08940	0
LOC_Os01g08960	10.5
LOC_Os01g08950	7
LOC_Os01g08970	22.8
LOC_Os01g08980	0
LOC_Os01g08990	0
LOC_Os01g09000	16.9
LOC_Os01g09010	68.5
LOC_Os01g09020	9.3
LOC_Os01g09030	2.7
LOC_Os01g09050	0
LOC_Os01g09060	0
LOC_Os01g09069	0
LOC_Os01g09080	72.8
LOC_Os01g09090	0
LOC_Os01g09100	22.6
LOC_Os01g09110	0
LOC_Os01g09120	5.9
LOC_Os01g09130	0
LOC_Os01g09140	0
LOC_Os01g09150	2.2
LOC_Os01g09160	0
LOC_Os01g09170	0
LOC_Os01g09180	0
LOC_Os01g09190	0.9
LOC_Os01g09200	25.3
LOC_Os01g09206	0
LOC_Os01g09212	0
LOC_Os01g09220	27.3
LOC_Os01g09230	0.9
LOC_Os01g09240	0
LOC_Os01g09246	15.9
LOC_Os01g09252	6.5
LOC_Os01g09260	1.3
LOC_Os01g09270	0
LOC_Os01g09280	1.6
LOC_Os01g09290	1.4
LOC_Os01g09300	9.8
LOC_Os01g09305	4.2
LOC_Os01g09310	1.4
LOC_Os01g09320	56.5
LOC_Os01g09330	0
LOC_Os01g09340	0.6
LOC_Os01g09350	0
LOC_Os01g09360	1.1
LOC_Os01g09370	2.8
LOC_Os01g09384	0
LOC_Os01g09400	0
LOC_Os01g09410	1.9
LOC_Os01g09420	13.3
LOC_Os01g09430	9.5
LOC_Os01g09440	0
LOC_Os01g09450	5.9
LOC_Os01g09460	3.3
LOC_Os01g09470	5.8
LOC_Os01g09480	0
LOC_Os01g09490	0
LOC_Os01g09500	1.5
LOC_Os01g09510	76.5
LOC_Os01g09520	0
LOC_Os01g09530	0
LOC_Os01g09540	60.8
LOC_Os01g09550	3.8
LOC_Os01g09560	23
LOC_Os01g09570	25.6
LOC_Os01g09580	5.4
LOC_Os01g09590	33.6
LOC_Os01g09600	0
LOC_Os01g09610	0
LOC_Os01g09620	118.7
LOC_Os01g09640	8
LOC_Os01g09650	0
LOC_Os01g09660	3.6
LOC_Os01g09665	10.5
LOC_Os01g09670	13.1
LOC_Os01g09680	0
LOC_Os01g09690	0
LOC_Os01g09700	3.2
LOC_Os01g09710	0
LOC_Os01g09720	0
LOC_Os01g09740	3.3
LOC_Os01g09730	2.5
LOC_Os01g09750	2
LOC_Os01g09760	3.3
LOC_Os01g09770	16.4
LOC_Os01g09780	0
LOC_Os01g09790	6.9
LOC_Os01g09800	24.7
LOC_Os01g09810	0
LOC_Os01g09820	0
LOC_Os01g09830	79.3
LOC_Os01g09840	0
LOC_Os01g09850	7.1
LOC_Os01g09860	12.6
LOC_Os01g09870	6.4
LOC_Os01g09880	44.9
LOC_Os01g09890	21.3
LOC_Os01g09900	0
LOC_Os01g09914	0
LOC_Os01g09930	0
LOC_Os01g09940	0
LOC_Os01g09950	0
LOC_Os01g09960	0
LOC_Os01g09970	0
LOC_Os01g09980	0
LOC_Os01g09990	4.6
LOC_Os01g10000	0
LOC_Os01g10010	4.2
LOC_Os01g10020	17.1
LOC_Os01g10030	0.3
LOC_Os01g10040	3.4
LOC_Os01g10050	5.7
LOC_Os01g10060	0
LOC_Os01g10070	4.8
LOC_Os01g10080	9.7
LOC_Os01g10090	0.5
LOC_Os01g10100	1.6
LOC_Os01g10110	0
LOC_Os01g10120	0
LOC_Os01g10130	0
LOC_Os01g10140	0.2
LOC_Os01g10150	11.5
LOC_Os01g10160	0
LOC_Os01g10170	0
LOC_Os01g10180	9.4
LOC_Os01g10190	0
LOC_Os01g10195	2
LOC_Os01g10200	0
LOC_Os01g10210	17.2
LOC_Os01g10219	0
LOC_Os01g10230	0
LOC_Os01g10240	0
LOC_Os01g10250	9.8
LOC_Os01g10260	0
LOC_Os01g10270	0
LOC_Os01g10280	3.9
LOC_Os01g10290	4.5
LOC_Os01g10300	1.6
LOC_Os01g10310	0
LOC_Os01g10320	5.9
LOC_Os01g10340	2.3
LOC_Os01g10350	2
LOC_Os01g10370	2.2
LOC_Os01g10380	0
LOC_Os01g10390	0
LOC_Os01g10400	2.5
LOC_Os01g10410	0
